Era,year,area,month,age 1 all,age 1 fems,age 1 trans,age1 fems+trans,age 2 all,age 2 males,per age 2 males (r2),age 3 all,older shrimp,older/first ((1-P)*/P),first/older (P*/(1-P),per primary fem (1-r1),percent age 1,number of males,number of shrimp,ratio of males
1966-1980,1966,19,September,527,21,200,221,804,0,0.00,0,804,1.53,0.66,0.42,0.40,306,1331,0.230
1966-1980,1966,19,October,309,9,158,167,396,0,0.00,4,400,1.29,0.77,0.54,0.44,142,709,0.200
1966-1980,1966,20,September,884,3,345,348,1129,0,0.00,30,"1,159",1.31,0.76,0.39,0.43,536,2043,0.262
1966-1980,1966,20,October,334,3,124,127,352,0,0.00,2,354,1.06,0.94,0.38,0.49,207,688,0.301
1966-1980,1966,21,September,102,0,1,1,119,6,0.05,5,124,1.22,0.82,0.01,0.45,107,226,0.473
1966-1980,1966,22,September,425,1,2,3,757,94,0.12,17,774,1.82,0.55,0.01,0.35,516,1199,0.430
1966-1980,1967,19,October,206,131,1,132,39,0,0.00,13,52,0.25,3.96,0.64,0.80,74,258,0.287
1966-1980,1967,20,September,606,133,29,162,219,0,0.00,163,382,0.63,1.59,0.27,0.61,444,988,0.449
1966-1980,1967,20,October,372,166,4,170,111,0,0.00,44,155,0.42,2.40,0.46,0.71,202,527,0.383
1966-1980,1967,22,September,201,53,32,85,93,0,0.00,14,107,0.53,1.88,0.42,0.65,116,308,0.377
1966-1980,1967,22,October,245,23,1,24,157,1,0.01,3,160,0.65,1.53,0.10,0.60,222,405,0.548
1966-1980,1967,24,September,126,20,7,27,53,13,0.25,66,119,0.94,1.06,0.21,0.51,112,245,0.457
1966-1980,1967,26,September,55,6,6,12,9,1,0.11,62,71,1.29,0.77,0.22,0.44,44,126,0.349
1966-1980,1967,28,September,90,7,3,10,61,13,0.21,66,127,1.41,0.71,0.11,0.41,93,217,0.429
1966-1980,1968,18,September,14,1,2,3,75,0,0.00,11,86,6.14,0.16,0.21,0.14,11,100,0.110
1966-1980,1968,19,September,25,0,4,4,54,1,0.02,12,66,2.64,0.38,0.16,0.27,22,91,0.242
1966-1980,1968,20,September,260,5,83,88,490,5,0.01,89,579,2.23,0.45,0.34,0.31,177,839,0.211
1966-1980,1968,22,September,236,2,4,6,343,43,0.13,41,384,1.63,0.61,0.03,0.38,273,620,0.440
1966-1980,1968,26,September,7,0,0,0,84,30,0.36,14,98,14.00,0.07,0.00,0.07,37,105,0.352
1966-1980,1968,28,September,163,0,0,0,973,550,0.57,304,"1,277",7.83,0.13,0.00,0.11,713,1440,0.495
1966-1980,1968,28,October,18,0,0,0,530,230,0.43,308,838,46.56,0.02,0.00,0.02,248,856,0.290
1966-1980,1969,22,September,1380,41,546,587,422,0,0.00,108,530,0.38,2.60,0.43,0.72,793,1910,0.415
1966-1980,1969,26,September,97,0,3,3,13,5,0.38,63,76,0.78,1.28,0.03,0.56,99,173,0.572
1966-1980,1969,28,September,51,0,6,6,10,1,0.10,50,60,1.18,0.85,0.12,0.46,46,111,0.414
1966-1980,1969,30,September,189,0,0,0,113,76,0.67,578,691,3.66,0.27,0.00,0.21,265,880,0.301
1966-1980,1970,20,September,342,0,1,1,409,33,0.08,12,421,1.23,0.81,0.00,0.45,374,763,0.490
1966-1980,1970,22,September,471,0,7,7,812,111,0.14,23,835,1.77,0.56,0.01,0.36,575,1306,0.440
1966-1980,1970,22,October,142,6,0,6,202,9,0.04,6,208,1.46,0.68,0.04,0.41,145,350,0.414
1966-1980,1970,24,October,135,0,0,0,68,46,0.68,173,241,1.79,0.56,0.00,0.36,181,376,0.481
1966-1980,1970,28,September,89,0,0,0,59,8,0.14,8,67,0.75,1.33,0.00,0.57,97,156,0.622
1966-1980,1970,28,October,163,1,0,1,144,11,0.08,68,212,1.30,0.77,0.01,0.43,173,375,0.461
1966-1980,1970,30,September,200,0,1,1,135,33,0.24,88,223,1.12,0.90,0.01,0.47,232,423,0.548
1966-1980,1970,30,October,165,2,0,2,79,12,0.15,21,100,0.61,1.65,0.01,0.62,175,265,0.660
1966-1980,1971,20,September,168,32,38,70,20,0,0.00,19,39,0.23,4.31,0.42,0.81,98,207,0.473
1966-1980,1971,21,September,173,35,17,52,24,0,0.00,10,34,0.20,5.09,0.30,0.84,121,207,0.585
1966-1980,1971,22,September,590,71,100,171,118,0,0.00,45,163,0.28,3.62,0.29,0.78,419,753,0.556
1966-1980,1971,22,October,1406,336,10,346,293,0,0.00,316,609,0.43,2.31,0.25,0.70,1060,2015,0.526
1966-1980,1971,24,October,558,57,14,71,117,0,0.00,96,213,0.38,2.62,0.13,0.72,487,771,0.632
1966-1980,1971,26,October,133,1,5,6,56,1,0.02,38,94,0.71,1.41,0.05,0.59,128,227,0.564
1966-1980,1971,28,September,194,4,18,22,88,0,0.00,50,138,0.71,1.41,0.11,0.58,172,332,0.518
1966-1980,1971,28,October,419,6,12,18,190,1,0.01,87,277,0.66,1.51,0.04,0.60,402,696,0.578
1966-1980,1972,19,September,179,0,3,3,235,24,0.10,3,238,1.33,0.75,0.02,0.43,200,417,0.480
1966-1980,1972,19,October,330,0,2,2,617,76,0.12,20,637,1.93,0.52,0.01,0.34,404,967,0.418
1966-1980,1972,20,September,91,0,0,0,234,38,0.16,20,254,2.79,0.36,0.00,0.26,129,345,0.374
1966-1980,1972,21,October,319,0,0,0,294,60,0.20,20,314,0.98,1.02,0.00,0.50,379,633,0.599
1966-1980,1972,22,September,53,0,1,1,576,216,0.38,72,648,12.23,0.08,0.02,0.08,268,701,0.382
1966-1980,1972,22,October,320,0,0,0,2236,938,0.42,151,"2,387",7.46,0.13,0.00,0.12,1258,2707,0.465
1966-1980,1972,24,September,13,0,0,0,265,142,0.54,28,293,22.54,0.04,0.00,0.04,155,306,0.507
1966-1980,1972,24,October,24,0,0,0,657,403,0.61,43,700,29.17,0.03,0.00,0.03,427,724,0.590
1966-1980,1972,26,October,13,1,0,1,461,317,0.69,39,500,38.46,0.03,0.08,0.03,329,513,0.641
1966-1980,1972,30,October,33,0,0,0,366,236,0.64,31,397,12.03,0.08,0.00,0.08,269,430,0.626
1966-1980,1973,19,September,126,26,15,41,37,0,0.00,28,65,0.52,1.94,0.33,0.66,85,191,0.445
1966-1980,1973,20,October,203,9,4,13,102,0,0.00,94,196,0.97,1.04,0.06,0.51,190,399,0.476
1966-1980,1973,21,September,357,39,48,87,79,0,0.00,46,125,0.35,2.86,0.24,0.74,270,482,0.560
1966-1980,1973,22,September,382,64,19,83,51,1,0.02,84,135,0.35,2.83,0.22,0.74,300,517,0.580
1966-1980,1973,22,October,947,256,8,264,565,2,0.00,28,593,0.63,1.60,0.28,0.61,685,1540,0.445
1966-1980,1973,24,September,92,0,0,0,106,35,0.33,13,119,1.29,0.77,0.00,0.44,127,211,0.602
1966-1980,1973,24,October,192,0,0,0,353,86,0.24,12,365,1.90,0.53,0.00,0.34,278,557,0.499
1966-1980,1974,19,September,136,4,13,17,87,12,0.14,197,284,2.09,0.48,0.13,0.32,131,420,0.312
1966-1980,1974,20,October,374,49,47,96,36,0,0.00,22,58,0.16,6.45,0.26,0.87,278,432,0.644
1966-1980,1974,21,October,388,84,25,109,66,0,0.00,20,86,0.22,4.51,0.28,0.82,279,474,0.589
1966-1980,1974,22,September,266,29,13,42,119,2,0.02,14,133,0.50,2.00,0.16,0.67,226,399,0.566
1966-1980,1974,22,October,1119,160,25,185,357,0,0.00,61,418,0.37,2.68,0.17,0.73,934,1537,0.608
1966-1980,1975,18,October,135,25,9,34,162,1,0.01,19,181,1.34,0.75,0.25,0.43,102,316,0.323
1966-1980,1975,20,October,139,7,3,10,33,0,0.00,7,40,0.29,3.48,0.07,0.78,129,179,0.721
1966-1980,1975,21,September,316,4,9,13,34,2,0.06,95,129,0.41,2.45,0.04,0.71,305,445,0.685
1966-1980,1975,22,September,394,31,24,55,162,0,0.00,11,173,0.44,2.28,0.14,0.69,339,567,0.598
1966-1980,1975,22,October,1085,87,2,89,477,5,0.01,109,586,0.54,1.85,0.08,0.65,1001,1671,0.599
1966-1980,1975,24,September,135,8,5,13,124,2,0.02,40,164,1.21,0.82,0.10,0.45,124,299,0.415
1966-1980,1975,24,October,21,5,0,5,70,3,0.04,8,78,3.71,0.27,0.24,0.21,19,99,0.192
1966-1980,1975,28,September,53,0,0,0,100,26,0.26,64,164,3.09,0.32,0.00,0.24,79,217,0.364
1966-1980,1975,28,October,7,0,1,1,65,13,0.20,36,101,14.43,0.07,0.14,0.06,19,108,0.176
1966-1980,1975,29,September,28,0,0,0,30,9,0.30,27,57,2.04,0.49,0.00,0.33,37,85,0.435
1966-1980,1975,30,September,187,0,0,0,86,25,0.29,61,147,0.79,1.27,0.00,0.56,212,334,0.635
1966-1980,1975,30,October,517,11,0,11,209,53,0.25,103,312,0.60,1.66,0.02,0.62,559,829,0.674
1966-1980,1976,20,October,300,75,15,90,89,0,0.00,15,104,0.35,2.88,0.30,0.74,210,404,0.520
1966-1980,1976,21,September,222,8,39,47,63,1,0.02,15,78,0.35,2.85,0.21,0.74,176,300,0.587
1966-1980,1976,21,October,98,7,10,17,49,4,0.08,14,63,0.64,1.56,0.17,0.61,85,161,0.528
1966-1980,1976,22,September,302,1,29,30,116,4,0.03,84,200,0.66,1.51,0.10,0.60,276,502,0.550
1966-1980,1976,22,October,854,81,38,119,380,14,0.04,121,501,0.59,1.70,0.14,0.63,749,1355,0.553
1966-1980,1976,26,September,80,0,0,0,72,60,0.83,179,251,3.14,0.32,0.00,0.24,140,331,0.423
1966-1980,1976,28,September,44,0,0,0,19,10,0.53,44,63,1.43,0.70,0.00,0.41,54,107,0.505
1966-1980,1976,28,October,78,0,0,0,48,8,0.17,56,104,1.33,0.75,0.00,0.43,86,182,0.473
1966-1980,1976,29,September,51,0,0,0,25,10,0.40,27,52,1.02,0.98,0.00,0.50,61,103,0.592
1966-1980,1976,29,October,141,0,1,1,33,13,0.39,33,66,0.47,2.14,0.01,0.68,153,207,0.739
1966-1980,1976,30,September,43,0,0,0,47,12,0.26,23,70,1.63,0.61,0.00,0.38,55,113,0.487
1966-1980,1977,19,September,131,0,3,3,230,32,0.14,39,269,2.05,0.49,0.02,0.33,160,400,0.400
1966-1980,1977,19,October,202,8,8,16,349,18,0.05,43,392,1.94,0.52,0.08,0.34,204,594,0.343
1966-1980,1977,20,September,46,0,2,2,121,7,0.06,33,154,3.35,0.30,0.04,0.23,51,200,0.255
1966-1980,1977,20,October,166,0,0,0,187,21,0.11,52,239,1.44,0.69,0.00,0.41,187,405,0.462
1966-1980,1977,21,September,18,0,0,0,64,17,0.27,18,82,4.56,0.22,0.00,0.18,35,100,0.350
1966-1980,1977,21,October,157,2,2,4,378,38,0.10,62,440,2.80,0.36,0.03,0.26,191,597,0.320
1966-1980,1977,22,September,241,0,3,3,452,121,0.27,203,655,2.72,0.37,0.01,0.27,359,896,0.401
1966-1980,1977,22,October,275,3,9,12,505,59,0.12,116,621,2.26,0.44,0.04,0.31,322,896,0.359
1966-1980,1977,28,October,13,0,0,0,80,73,0.91,160,240,18.46,0.05,0.00,0.05,86,253,0.340
1966-1980,1977,29,September,0,0,0,0,52,16,0.31,43,95,#DIV/0!,0.00,#DIV/0!,0.00,16,95,0.168
1966-1980,1977,29,October,8,0,0,0,63,29,0.46,29,92,11.50,0.09,0.00,0.08,37,100,0.370
1966-1980,1977,30,September,64,0,0,0,181,69,0.38,51,232,3.63,0.28,0.00,0.22,133,296,0.449
1966-1980,1977,32,September,56,0,7,7,104,33,0.32,53,157,2.80,0.36,0.13,0.26,82,213,0.385
1966-1980,1978,18,October,255,0,2,2,158,32,0.20,91,249,0.98,1.02,0.01,0.51,285,504,0.565
1966-1980,1978,19,September,212,1,12,13,143,12,0.08,46,189,0.89,1.12,0.06,0.53,211,401,0.526
1966-1980,1978,19,October,86,0,1,1,50,4,0.08,64,114,1.33,0.75,0.01,0.43,89,200,0.445
1966-1980,1978,21,September,209,3,16,19,119,18,0.15,131,250,1.20,0.84,0.09,0.46,208,459,0.453
1966-1980,1978,21,October,552,11,29,40,87,7,0.08,56,143,0.26,3.86,0.07,0.79,519,695,0.747
1966-1980,1978,22,September,503,18,77,95,143,8,0.06,102,245,0.49,2.05,0.19,0.67,416,748,0.556
1966-1980,1978,22,October,696,24,23,47,220,13,0.06,296,516,0.74,1.35,0.07,0.57,662,1212,0.546
1966-1980,1978,29,September,9,0,0,0,20,10,0.50,77,97,10.78,0.09,0.00,0.08,19,106,0.179
1966-1980,1978,30,September,234,2,2,4,77,39,0.51,252,329,1.41,0.71,0.02,0.42,269,563,0.478
1966-1980,1978,32,October,73,0,0,0,22,3,0.14,15,37,0.51,1.97,0.00,0.66,76,110,0.691
1966-1980,1979,19,October,399,56,19,75,241,1,0.00,113,354,0.89,1.13,0.19,0.53,325,753,0.432
1966-1980,1979,21,September,427,53,17,70,280,5,0.02,20,300,0.70,1.42,0.16,0.59,362,727,0.498
1966-1980,1979,21,October,368,8,7,15,238,9,0.04,18,256,0.70,1.44,0.04,0.59,362,624,0.580
1966-1980,1979,22,September,176,16,9,25,228,9,0.04,21,249,1.41,0.71,0.14,0.41,160,425,0.376
1966-1980,1979,22,October,921,73,16,89,600,11,0.02,138,738,0.80,1.25,0.10,0.56,843,1659,0.508
1966-1980,1979,24,September,66,1,0,1,57,23,0.40,76,133,2.02,0.50,0.02,0.33,88,199,0.442
1966-1980,1979,24,October,47,0,0,0,27,9,0.33,16,43,0.91,1.09,0.00,0.52,56,90,0.622
1966-1980,1979,26,September,68,1,0,1,136,30,0.22,118,254,3.74,0.27,0.01,0.21,97,322,0.301
1966-1980,1979,26,October,177,3,8,11,140,50,0.36,104,244,1.38,0.73,0.06,0.42,216,421,0.513
1966-1980,1979,29,September,38,1,9,10,36,0,0.00,3,39,1.03,0.97,0.26,0.49,28,77,0.364
1966-1980,1979,29,October,77,2,12,14,23,0,0.00,2,25,0.32,3.08,0.18,0.75,63,102,0.618
1966-1980,1979,30,September,240,4,27,31,78,1,0.01,14,92,0.38,2.61,0.13,0.72,210,332,0.633
1966-1980,1979,30,October,658,0,85,85,277,5,0.02,28,305,0.46,2.16,0.13,0.68,578,963,0.600
1966-1980,1979,32,September,112,0,24,24,62,3,0.05,29,91,0.81,1.23,0.21,0.55,91,203,0.448
1966-1980,1980,18,October,379,110,52,162,216,0,0.00,44,260,0.69,1.46,0.43,0.59,217,639,0.340
1966-1980,1980,19,September,320,84,68,152,72,0,0.00,14,86,0.27,3.72,0.48,0.79,168,406,0.414
1966-1980,1980,19,October,430,97,76,173,87,0,0.00,13,100,0.23,4.30,0.40,0.81,257,530,0.485
1966-1980,1980,21,September,265,36,55,91,51,0,0.00,12,63,0.24,4.21,0.34,0.81,174,328,0.530
1966-1980,1980,21,October,433,119,28,147,61,0,0.00,7,68,0.16,6.37,0.34,0.86,286,501,0.571
1966-1980,1980,22,September,220,29,49,78,76,0,0.00,4,80,0.36,2.75,0.35,0.73,142,300,0.473
1966-1980,1980,22,October,345,108,13,121,54,0,0.00,0,54,0.16,6.39,0.35,0.86,224,399,0.561
1966-1980,1980,24,September,175,16,40,56,57,0,0.00,4,61,0.35,2.87,0.32,0.74,119,236,0.504
1966-1980,1980,24,October,28,1,5,6,11,0,0.00,2,13,0.46,2.15,0.21,0.68,22,41,0.537
1966-1980,1980,26,September,169,20,23,43,55,1,0.02,0,55,0.33,3.07,0.25,0.75,127,224,0.567
1966-1980,1980,26,October,126,18,13,31,27,1,0.04,0,27,0.21,4.67,0.25,0.82,96,153,0.627
1966-1980,1980,28,October,230,7,8,15,33,4,0.12,67,100,0.43,2.30,0.07,0.70,219,330,0.664
1966-1980,1980,30,September,217,7,20,27,88,5,0.06,4,92,0.42,2.36,0.12,0.70,195,309,0.631
1966-1980,1980,32,September,248,3,38,41,57,0,0.00,3,60,0.24,4.13,0.17,0.81,207,308,0.672
1966-1980,1980,32,October,84,5,7,12,21,0,0.00,0,21,0.25,4.00,0.14,0.80,72,105,0.686
1981-2000,1981,19,September,371,94,43,137,27,0,0.00,3,30,0.08,12.37,0.37,0.93,234,401,0.584
1981-2000,1981,19,October,213,64,19,83,59,0,0.00,1,60,0.28,3.55,0.39,0.78,130,273,0.476
1981-2000,1981,21,September,518,74,88,162,178,0,0.00,5,183,0.35,2.83,0.31,0.74,356,701,0.508
1981-2000,1981,21,October,651,176,48,224,122,0,0.00,6,128,0.20,5.09,0.34,0.84,427,779,0.548
1981-2000,1981,22,September,171,44,16,60,112,0,0.00,20,132,0.77,1.30,0.35,0.56,111,303,0.366
1981-2000,1981,22,October,559,114,18,132,280,0,0.00,50,330,0.59,1.69,0.24,0.63,427,889,0.480
1981-2000,1981,24,October,144,0,0,0,279,61,0.22,24,303,2.10,0.48,0.00,0.32,205,447,0.459
1981-2000,1981,26,September,51,1,0,1,47,0,0.00,10,57,1.12,0.89,0.02,0.47,50,108,0.463
1981-2000,1981,26,October,384,10,0,10,269,30,0.11,6,275,0.72,1.40,0.03,0.58,404,659,0.613
1981-2000,1981,28,September,55,0,0,0,48,1,0.02,7,55,1.00,1.00,0.00,0.50,56,110,0.509
1981-2000,1981,28,October,98,4,0,4,129,4,0.03,2,131,1.34,0.75,0.04,0.43,98,229,0.428
1981-2000,1982,19,September,395,85,124,209,3,0,0.00,0,3,0.01,131.67,0.53,0.99,186,398,0.467
1981-2000,1982,21,September,381,161,41,202,17,0,0.00,3,20,0.05,19.05,0.53,0.95,179,401,0.446
1981-2000,1982,21,October,184,95,25,120,17,0,0.00,9,26,0.14,7.08,0.65,0.88,64,210,0.305
1981-2000,1982,22,September,313,90,28,118,34,0,0.00,63,97,0.31,3.23,0.38,0.76,195,410,0.476
1981-2000,1982,22,October,117,64,1,65,12,0,0.00,13,25,0.21,4.68,0.56,0.82,52,142,0.366
1981-2000,1982,28,September,80,29,15,44,19,0,0.00,10,29,0.36,2.76,0.55,0.73,36,109,0.330
1981-2000,1982,28,October,428,144,29,173,100,0,0.00,19,119,0.28,3.60,0.40,0.78,255,547,0.466
1981-2000,1983,19,September,7,0,0,0,58,15,0.26,37,95,13.57,0.07,0.00,0.07,22,102,0.216
1981-2000,1983,28,October,154,1,4,5,44,3,0.07,50,94,0.61,1.64,0.03,0.62,152,248,0.613
1981-2000,1984,18,October,190,6,2,8,113,0,0.00,3,116,0.61,1.64,0.04,0.62,182,306,0.595
1981-2000,1984,19,September,149,6,18,24,186,0,0.00,64,250,1.68,0.60,0.16,0.37,125,399,0.313
1981-2000,1984,21,September,358,145,25,170,18,0,0.00,3,21,0.06,17.05,0.47,0.94,188,379,0.496
1981-2000,1984,21,October,207,44,2,46,149,0,0.00,26,175,0.85,1.18,0.22,0.54,161,382,0.421
1981-2000,1984,22,September,315,184,13,197,24,0,0.00,6,30,0.10,10.50,0.63,0.91,118,345,0.342
1981-2000,1984,26,September,77,1,0,1,67,0,0.00,5,72,0.94,1.07,0.01,0.52,76,149,0.510
1981-2000,1984,26,October,620,57,19,76,486,1,0.00,111,597,0.96,1.04,0.12,0.51,545,1217,0.448
1981-2000,1985,19,September,219,30,11,41,130,3,0.02,19,149,0.68,1.47,0.19,0.60,181,368,0.492
1981-2000,1985,21,September,422,105,62,167,50,0,0.00,20,70,0.17,6.03,0.40,0.86,255,492,0.518
